orderId,traderId,tradeType,orderType,price,quantity,countryCode,timestamp
SELL-1763965655393-001827,TRADER-0327,FOREX,SELL,1.10,338,US,2025-01-16 01:35:15
SELL-1763965655405-008648,TRADER-0148,CRYPTO,SELL,137.55,545,SG,2025-01-19 11:36:40
SELL-1763965655390-000118,TRADER-0118,EQUITY,SELL,100.00,36,DE,2025-01-15 05:34:32
SELL-1763965655393-001418,TRADER-0418,FOREX,SELL,7.23,11,IN,2025-01-15 20:58:05
SELL-1763965655398-004485,TRADER-0485,FOREX,SELL,1.30,298,DE,2025-01-17 10:04:06
SELL-1763965655394-002337,TRADER-0337,FOREX,SELL,2.48,765,IN,2025-01-16 08:30:18
SELL-1763965655393-001525,TRADER-0025,EQUITY,SELL,402.38,37,US,2025-01-15 22:46:07
SELL-1763965655394-002053,TRADER-0053,EQUITY,SELL,105.37,365,JP,2025-01-16 04:25:01
SELL-1763965655390-000000,TRADER-0000,EQUITY,SELL,200.00,20,FR,2025-01-15 04:15:44
SELL-1763965655395-002852,TRADER-0352,FOREX,SELL,4.28,556,US,2025-01-16 14:04:00
SELL-1763965655391-000834,TRADER-0334,CRYPTO,SELL,967.66,19,SG,2025-01-15 14:02:11
SELL-1763965655396-003203,TRADER-0203,EQUITY,SELL,50.75,270,SG,2025-01-16 18:22:33
SELL-1763965655393-001446,TRADER-0446,EQUITY,SELL,353.48,108,JP,2025-01-15 20:55:55
SELL-1763965655393-001645,TRADER-0145,EQUITY,SELL,139.63,327,DE,2025-01-15 23:46:56
SELL-1763965655393-001936,TRADER-0436,EQUITY,SELL,155.04,338,JP,2025-01-16 03:43:44
SELL-1763965655392-001329,TRADER-0329,CRYPTO,SELL,3716.76,6,US,2025-01-15 19:45:40
SELL-1763965655393-001618,TRADER-0118,CRYPTO,SELL,2295.09,19,JP,2025-01-15 23:36:30
SELL-1763965655392-000983,TRADER-0483,EQUITY,SELL,278.17,41,JP,2025-01-15 15:35:51
SELL-1763965655393-001492,TRADER-0492,CRYPTO,SELL,1461.39,4,IN,2025-01-15 22:19:14
SELL-1763965655394-001997,TRADER-0497,CRYPTO,SELL,2607.25,15,DE,2025-01-16 03:54:27
